,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8852754,HOUSE,APARTMENT_BLOCK,515000,1410,210,4,True,0,True,300,True,25,False,False,,480,480,,False
8488948,HOUSE,APARTMENT_BLOCK,695000,4141,400,5,True,0,False,0,True,0,False,False,,0,400,AS_NEW,False
8913795,HOUSE,APARTMENT_BLOCK,1425000,1050,400,6,True,0,True,100,False,0,False,False,,184,184,GOOD,False
8815358,HOUSE,APARTMENT_BLOCK,1750000,4851,876,6,True,0,True,10000,True,0,True,False,,11351,11351,AS_NEW,False
8667494,HOUSE,APARTMENT_BLOCK,220000,4032,0,6,False,0,False,0,True,15,False,False,,336,336,GOOD,False
8684398,HOUSE,HOUSE,833155,2970,0,5,True,0,False,0,True,0,False,False,,400,400,AS_NEW,False
8574541,HOUSE,MIXED_USE_BUILDING,850000,6800,120,4,False,0,False,0,True,0,False,False,,3100,3100,TO_RESTORE,False
8947711,HOUSE,MIXED_USE_BUILDING,935000,1050,356,2,False,0,True,100,True,0,False,False,isNewClassified,200,200,,False
8861595,HOUSE,MIXED_USE_BUILDING,950000,1150,300,7,True,0,False,0,True,6,False,False,,366,366,,False
8930188,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,349999,7130,152,0,True,0,False,0,False,0,False,False,,0,152,GOOD,False
8766959,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,200000,7330,125,0,True,0,False,0,True,0,False,False,,140,140,GOOD,False
8770295,COMMERCIAL,HOTEL_RESTAURANT_CAFE,485000,8750,0,0,False,0,False,0,False,0,False,False,,1246,1246,Not specified,False
8102739,COMMERCIAL,BUSINESS,575000,2560,441,0,False,0,False,0,False,0,False,False,,0,441,,False
8150562,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,625000,2280,1167,0,False,0,False,0,False,0,False,False,,0,1167,Not specified,False
7627767,COMMERCIAL,COMMERCIAL_PREMISES,675000,5150,699,0,False,0,False,0,False,0,False,False,,0,699,,False
8488951,COMMERCIAL,COMMERCIAL_PREMISES,695000,4141,400,0,True,0,False,0,True,0,False,False,,0,400,AS_NEW,False
8861606,HOUSE,HOUSE,95000,6180,288,4,False,0,False,0,False,0,False,False,isNewlyBuilt,351,351,,False
7736090,INDUSTRY,WAREHOUSE,250000,4980,504,0,False,0,False,0,False,0,False,False,,1149,1149,GOOD,False
8724319,OFFICE,BUILDING,750000,1190,480,0,True,0,False,0,True,30,False,False,,0,480,,False
8719667,OFFICE,BUILDING,1350000,1190,480,0,True,0,False,0,True,30,False,False,,0,480,,False
8876712,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,329000,4020,520,0,False,0,False,0,False,0,False,False,,0,520,Not specified,False
8250005,HOUSE,MIXED_USE_BUILDING,176000,4920,135,3,True,0,False,0,False,0,False,False,,182,182,TO_RENOVATE,False
8349864,HOUSE,APARTMENT_BLOCK,295000,6000,225,3,False,0,False,0,False,0,False,False,,0,225,Not specified,False
8897331,HOUSE,APARTMENT_BLOCK,450000,1080,255,6,True,0,False,0,False,0,False,False,,95,95,,False
8027004,HOUSE,APARTMENT_BLOCK,490000,1060,296,5,True,0,False,0,False,0,False,False,,95,95,GOOD,False
8861615,HOUSE,MIXED_USE_BUILDING,995000,3290,220,4,True,0,False,0,True,0,False,False,,19500,19500,,False
8747765,HOUSE,APARTMENT_BLOCK,1560000,1030,500,6,False,0,False,0,False,0,False,False,,147,147,,False
8938125,HOUSE,EXCEPTIONAL_PROPERTY,345000,9000,140,3,True,0,False,0,False,0,False,False,isNewClassified,81,81,TO_BE_DONE_UP,False
8927044,HOUSE,MIXED_USE_BUILDING,428000,9130,0,3,False,0,False,0,False,0,False,False,,790,313,,False
8956477,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,299500,9000,200,0,True,0,False,0,False,0,False,False,isNewClassified,200,200,TO_BE_DONE_UP,False
8912351,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,449000,2200,365,0,True,0,False,0,False,0,False,False,,0,365,GOOD,False
8880802,COMMERCIAL,HOTEL_RESTAURANT_CAFE,2650000,2300,1000,0,False,0,False,0,False,0,False,False,,10141,90,AS_NEW,False
8936217,HOUSE,APARTMENT_BLOCK,305000,4460,240,6,True,0,True,60,True,42,False,False,isUnderOption,0,240,GOOD,False
8555782,COMMERCIAL,BUSINESS,240000,6940,0,0,False,0,False,0,False,0,False,False,,0,0,AS_NEW,False
8119192,COMMERCIAL,BUSINESS,309000,4680,0,0,False,0,False,0,True,0,False,False,,0,0,TO_BE_DONE_UP,False
8556975,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,450000,7160,0,0,False,0,False,0,False,0,False,False,,0,0,GOOD,False
8689958,COMMERCIAL,BUSINESS,1445000,2000,120,0,True,0,False,0,False,0,False,False,,0,120,AS_NEW,False
8640364,INDUSTRY,MIXED_USE_BUILDING_INDUSTRIES,144000,6762,160,0,False,0,False,0,False,0,False,False,,180,180,,False
8909731,OFFICE,MIXED_USE_BUILDING_OFFICES,519000,4000,435,0,False,0,False,0,False,0,False,False,,0,435,GOOD,False
8950308,OFFICE,MIXED_USE_BUILDING_OFFICES,745000,1420,465,0,False,0,False,0,False,0,False,False,isNewClassified,183,183,GOOD,False
8678063,OFFICE,OFFICES,890000,8370,450,0,True,0,False,0,False,0,False,False,,0,12,GOOD,False
8756669,HOUSE,APARTMENT_BLOCK,755000,9620,0,8,True,0,False,0,False,0,False,False,,170,170,GOOD,False
8264606,HOUSE,MIXED_USE_BUILDING,116500,6200,231,2,True,0,False,0,False,0,False,False,,0,231,GOOD,False
8447855,HOUSE,HOUSE,130000,6030,0,3,False,0,False,0,False,0,False,False,,0,0,GOOD,False
8068626,HOUSE,APARTMENT_BLOCK,139000,6040,189,4,True,0,False,0,False,0,False,False,isUnderOption,200,200,GOOD,False
8464040,HOUSE,MIXED_USE_BUILDING,229000,4400,250,3,True,0,False,0,True,0,False,False,isUnderOption,0,250,GOOD,False
8350491,HOUSE,APARTMENT_BLOCK,309000,7170,180,4,True,0,False,0,True,0,False,False,,0,30,AS_NEW,True
8719325,HOUSE,APARTMENT_BLOCK,375000,3798,150,3,False,0,False,0,True,0,False,False,,1336,70,TO_BE_DONE_UP,False
8812171,HOUSE,APARTMENT_BLOCK,385000,4900,241,0,False,0,False,0,False,0,False,False,,115,115,,False
8889314,HOUSE,MANSION,460000,6760,432,6,False,0,False,0,False,0,False,False,,422,422,GOOD,False
8447854,HOUSE,MIXED_USE_BUILDING,485000,6200,171,3,False,0,False,0,False,0,False,False,,0,171,AS_NEW,False
8787465,HOUSE,APARTMENT_BLOCK,1300000,1000,330,11,True,0,False,0,True,0,False,False,,137,137,GOOD,False
8900343,HOUSE,MIXED_USE_BUILDING,105000,7370,170,3,True,0,False,0,False,0,False,False,,150,150,,False
8919039,HOUSE,HOUSE,135000,3840,256,3,False,0,False,0,True,0,False,False,,112,112,TO_RENOVATE,False
8781206,HOUSE,APARTMENT_BLOCK,198000,4820,230,8,True,0,False,0,True,18,False,False,,112,112,TO_BE_DONE_UP,False
8938191,HOUSE,HOUSE,200000,9960,234,5,False,0,False,0,True,0,False,False,isNewClassified,240,240,TO_RENOVATE,False
8952332,HOUSE,MIXED_USE_BUILDING,299000,3800,294,0,False,0,False,0,False,0,False,False,isNewClassified,259,259,GOOD,False
8911136,HOUSE,MIXED_USE_BUILDING,375000,2930,150,2,True,0,False,0,True,12,False,False,,0,150,GOOD,False
8935798,HOUSE,APARTMENT_BLOCK,1200000,1030,0,0,False,0,False,0,True,0,False,False,isNewClassified,0,0,TO_RENOVATE,False
8843544,HOUSE,MIXED_USE_BUILDING,2800000,1470,0,18,False,0,False,0,False,0,False,False,,10000,10000,JUST_RENOVATED,False
8934206,HOUSE,APARTMENT_BLOCK,185000,7850,144,2,False,0,False,0,False,0,False,False,isNewClassified,92,92,,False
8930327,HOUSE,APARTMENT_BLOCK,1420000,1050,418,4,True,0,True,60,True,10,False,False,,150,4,,False
8796093,HOUSE,MIXED_USE_BUILDING,865000,1050,310,8,True,0,False,0,False,0,False,False,,93,3,,False
8734099,HOUSE,MIXED_USE_BUILDING,590000,7620,760,3,False,0,False,0,True,85,False,False,,3412,3412,GOOD,False
8913847,HOUSE,APARTMENT_BLOCK,795000,1070,450,7,True,0,True,60,True,10,False,False,isNewlyBuilt,150,150,JUST_RENOVATED,False
8565553,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,199000,6030,480,0,False,0,False,0,False,0,False,False,,421,421,GOOD,False
